AREACD,AREANM,Geography,Period,Observation,Measure,Unit,Observation Status
E07000167,Ryedale,Local Authority District,2023-05,90.9,Percentage,%,
E07000168,Scarborough,Local Authority District,2023-05,93.97,Percentage,%,
E07000169,Selby,Local Authority District,2023-05,100.0,Percentage,%,
E08000016,Barnsley,Local Authority District,2023-05,99.71,Percentage,%,
E08000017,Doncaster,Local Authority District,2023-05,100.0,Percentage,%,
E08000018,Rotherham ,Local Authority District,2023-05,100.0,Percentage,%,
E08000019,Sheffield,Local Authority District,2023-05,94.9,Percentage,%,
E08000032,Bradford ,Local Authority District,2023-05,99.92,Percentage,%,
E08000033,Calderdale,Local Authority District,2023-05,98.59,Percentage,%,
E08000034,Kirklees ,Local Authority District,2023-05,99.53,Percentage,%,
E08000035,Leeds ,Local Authority District,2023-05,99.99,Percentage,%,
E08000036,Wakefield,Local Authority District,2023-05,100.0,Percentage,%,
E06000015,Derby ,County or Unitary Authority,2023-05,100.0,Percentage,%,
E06000016,Leicester,County or Unitary Authority,2023-05,100.0,Percentage,%,
E06000061,North Northamptonshire,County or Unitary Authority,2023-05,99.85,Percentage,%,
E06000018,Nottingham,County or Unitary Authority,2023-05,100.0,Percentage,%,
E06000017,Rutland ,County or Unitary Authority,2023-05,99.88,Percentage,%,
E06000062,West Northamptonshire,County or Unitary Authority,2023-05,99.98,Percentage,%,
E07000032,Amber Valley,Local Authority District,2023-05,99.97,Percentage,%,
E07000033,Bolsover,Local Authority District,2023-05,100.0,Percentage,%,
E07000034,Chesterfield,Local Authority District,2023-05,100.0,Percentage,%,
E07000035,Derbyshire Dales,Local Authority District,2023-05,98.89,Percentage,%,
E07000036,Erewash,Local Authority District,2023-05,100.0,Percentage,%,
E07000037,High Peak,Local Authority District,2023-05,90.41,Percentage,%,
E07000038,North East Derbyshire,Local Authority District,2023-05,99.78,Percentage,%,
E07000039,South Derbyshire,Local Authority District,2023-05,100.0,Percentage,%,
E07000129,Blaby,Local Authority District,2023-05,100.0,Percentage,%,
E07000130,Charnwood,Local Authority District,2023-05,99.84,Percentage,%,
E07000131,Harborough,Local Authority District,2023-05,99.69,Percentage,%,
E07000132,Hinckley and Bosworth,Local Authority District,2023-05,100.0,Percentage,%,
E07000133,Melton,Local Authority District,2023-05,99.93,Percentage,%,
E07000134,North West Leicestershire,Local Authority District,2023-05,99.99,Percentage,%,
E07000135,Oadby and Wigston,Local Authority District,2023-05,100.0,Percentage,%,
E07000136,Boston,Local Authority District,2023-05,100.0,Percentage,%,
E07000137,East Lindsey,Local Authority District,2023-05,99.87,Percentage,%,
E07000138,Lincoln,Local Authority District,2023-05,100.0,Percentage,%,
E07000139,North Kesteven,Local Authority District,2023-05,100.0,Percentage,%,
E07000140,South Holland,Local Authority District,2023-05,99.99,Percentage,%,
E07000141,South Kesteven,Local Authority District,2023-05,99.99,Percentage,%,
E07000142,West Lindsey,Local Authority District,2023-05,99.8,Percentage,%,
E07000170,Ashfield,Local Authority District,2023-05,100.0,Percentage,%,
E07000171,Bassetlaw,Local Authority District,2023-05,100.0,Percentage,%,
E07000172,Broxtowe,Local Authority District,2023-05,100.0,Percentage,%,
E07000173,Gedling,Local Authority District,2023-05,100.0,Percentage,%,
E07000174,Mansfield,Local Authority District,2023-05,99.95,Percentage,%,
E07000175,Newark and Sherwood,Local Authority District,2023-05,100.0,Percentage,%,
E07000176,Rushcliffe,Local Authority District,2023-05,100.0,Percentage,%,
E06000019,"Herefordshire, County of",County or Unitary Authority,2023-05,98.47,Percentage,%,
E06000051,Shropshire,County or Unitary Authority,2023-05,97.72,Percentage,%,
E06000021,Stoke-on-Trent,County or Unitary Authority,2023-05,100.0,Percentage,%,
E06000020,Telford and Wrekin,County or Unitary Authority,2023-05,99.81,Percentage,%,
E07000192,Cannock Chase,Local Authority District,2023-05,100.0,Percentage,%,
E07000193,East Staffordshire,Local Authority District,2023-05,99.78,Percentage,%,
E07000194,Lichfield,Local Authority District,2023-05,100.0,Percentage,%,
E07000195,Newcastle-under-Lyme,Local Authority District,2023-05,99.81,Percentage,%,
E07000196,South Staffordshire,Local Authority District,2023-05,100.0,Percentage,%,
E07000197,Stafford,Local Authority District,2023-05,99.89,Percentage,%,
E07000198,Staffordshire Moorlands,Local Authority District,2023-05,95.6,Percentage,%,
E07000199,Tamworth,Local Authority District,2023-05,100.0,Percentage,%,
E07000218,North Warwickshire,Local Authority District,2023-05,99.98,Percentage,%,
E07000219,Nuneaton and Bedworth,Local Authority District,2023-05,100.0,Percentage,%,
E07000220,Rugby,Local Authority District,2023-05,100.0,Percentage,%,
E07000221,Stratford-on-Avon,Local Authority District,2023-05,99.99,Percentage,%,
E07000222,Warwick,Local Authority District,2023-05,100.0,Percentage,%,
E08000025,Birmingham,Local Authority District,2023-05,100.0,Percentage,%,
E08000026,Coventry,Local Authority District,2023-05,100.0,Percentage,%,
E08000027,Dudley ,Local Authority District,2023-05,100.0,Percentage,%,
E08000028,Sandwell ,Local Authority District,2023-05,100.0,Percentage,%,
E08000029,Solihull,Local Authority District,2023-05,100.0,Percentage,%,
E08000030,Walsall,Local Authority District,2023-05,100.0,Percentage,%,
E08000031,Wolverhampton,Local Authority District,2023-05,100.0,Percentage,%,
E07000234,Bromsgrove,Local Authority District,2023-05,99.97,Percentage,%,
E07000235,Malvern Hills,Local Authority District,2023-05,99.18,Percentage,%,
E07000236,Redditch,Local Authority District,2023-05,100.0,Percentage,%,
E07000237,Worcester,Local Authority District,2023-05,100.0,Percentage,%,
E07000238,Wychavon,Local Authority District,2023-05,99.96,Percentage,%,
E07000239,Wyre Forest,Local Authority District,2023-05,99.11,Percentage,%,
E06000055,Bedford,County or Unitary Authority,2023-05,100.0,Percentage,%,
E06000056,Central Bedfordshire,County or Unitary Authority,2023-05,100.0,Percentage,%,
E06000032,Luton,County or Unitary Authority,2023-05,100.0,Percentage,%,
