Measure type,Country,Reference Area,Reference Period,LA CO2 Sub-Sector,Local Authority,LA CO2 Sector,Territorial emissions per area,Emissions within the scope of influence of LAs,Territorial emissions per capita,Territorial emissions,Unit of Measure
Territorial emissions,England,http://gss-data.org.uk/def/climate-change/concept/local-authority-code/E06000012,http://reference.data.gov.uk/id/year/2017,LULUCF Net Emissions: Cropland,North East Lincolnshire,LULUCF,,,,3.7916,http://gss-data.org.uk/data/climate-change/beis-2005-to-2019-local-authority-carbon-dioxide-co2-emissions/2005-to-2019-local-authority-carbon-dioxide-co2-emissions-dataset-revised.csv#unit/kt-co2
Territorial emissions,England,http://gss-data.org.uk/def/climate-change/concept/local-authority-code/E06000030,http://reference.data.gov.uk/id/year/2011,LULUCF Net Emissions: Cropland,Swindon,LULUCF,,,,7.6204,http://gss-data.org.uk/data/climate-change/beis-2005-to-2019-local-authority-carbon-dioxide-co2-emissions/2005-to-2019-local-authority-carbon-dioxide-co2-emissions-dataset-revised.csv#unit/kt-co2
Territorial emissions,England,http://gss-data.org.uk/def/climate-change/concept/local-authority-code/E06000040,http://reference.data.gov.uk/id/year/2005,Public Sector Electricity,Windsor and Maidenhead,Public Sector,,,,27.468,http://gss-data.org.uk/data/climate-change/beis-2005-to-2019-local-authority-carbon-dioxide-co2-emissions/2005-to-2019-local-authority-carbon-dioxide-co2-emissions-dataset-revised.csv#unit/kt-co2
Territorial emissions,England,http://gss-data.org.uk/def/climate-change/concept/local-authority-code/E06000031,http://reference.data.gov.uk/id/year/2017,Domestic Gas,Peterborough,Domestic,,,,172.9848,http://gss-data.org.uk/data/climate-change/beis-2005-to-2019-local-authority-carbon-dioxide-co2-emissions/2005-to-2019-local-authority-carbon-dioxide-co2-emissions-dataset-revised.csv#unit/kt-co2
Territorial emissions,England,http://gss-data.org.uk/def/climate-change/concept/local-authority-code/E06000013,http://reference.data.gov.uk/id/year/2009,Agriculture,North Lincolnshire,Industry,,,,20.0387,http://gss-data.org.uk/data/climate-change/beis-2005-to-2019-local-authority-carbon-dioxide-co2-emissions/2005-to-2019-local-authority-carbon-dioxide-co2-emissions-dataset-revised.csv#unit/kt-co2
Territorial emissions,England,http://gss-data.org.uk/def/climate-change/concept/local-authority-code/E06000012,http://reference.data.gov.uk/id/year/2006,LULUCF Net Emissions: Cropland,North East Lincolnshire,LULUCF,,,,4.2699,http://gss-data.org.uk/data/climate-change/beis-2005-to-2019-local-authority-carbon-dioxide-co2-emissions/2005-to-2019-local-authority-carbon-dioxide-co2-emissions-dataset-revised.csv#unit/kt-co2
Territorial emissions,England,http://gss-data.org.uk/def/climate-change/concept/local-authority-code/E06000014,http://reference.data.gov.uk/id/year/2007,Large Industrial Installations,York,Industry,,,,2.5536,http://gss-data.org.uk/data/climate-change/beis-2005-to-2019-local-authority-carbon-dioxide-co2-emissions/2005-to-2019-local-authority-carbon-dioxide-co2-emissions-dataset-revised.csv#unit/kt-co2
Territorial emissions,England,http://gss-data.org.uk/def/climate-change/concept/local-authority-code/E06000037,http://reference.data.gov.uk/id/year/2017,Large Industrial Installations,West Berkshire,Industry,,,,4.6451,http://gss-data.org.uk/data/climate-change/beis-2005-to-2019-local-authority-carbon-dioxide-co2-emissions/2005-to-2019-local-authority-carbon-dioxide-co2-emissions-dataset-revised.csv#unit/kt-co2
Territorial emissions,England,http://gss-data.org.uk/def/climate-change/concept/local-authority-code/E06000056,http://reference.data.gov.uk/id/year/2005,Road Transport (A roads),Central Bedfordshire,Transport,,,,285.1655,http://gss-data.org.uk/data/climate-change/beis-2005-to-2019-local-authority-carbon-dioxide-co2-emissions/2005-to-2019-local-authority-carbon-dioxide-co2-emissions-dataset-revised.csv#unit/kt-co2
Territorial emissions,England,http://gss-data.org.uk/def/climate-change/concept/local-authority-code/E06000004,http://reference.data.gov.uk/id/year/2007,LULUCF Net Emissions: Wetlands,Stockton-on-Tees,LULUCF,,,,-0.0032,http://gss-data.org.uk/data/climate-change/beis-2005-to-2019-local-authority-carbon-dioxide-co2-emissions/2005-to-2019-local-authority-carbon-dioxide-co2-emissions-dataset-revised.csv#unit/kt-co2
Territorial emissions,England,http://gss-data.org.uk/def/climate-change/concept/local-authority-code/E06000026,http://reference.data.gov.uk/id/year/2015,Diesel Railways,Plymouth,Transport,,,,1.4669,http://gss-data.org.uk/data/climate-change/beis-2005-to-2019-local-authority-carbon-dioxide-co2-emissions/2005-to-2019-local-authority-carbon-dioxide-co2-emissions-dataset-revised.csv#unit/kt-co2
Territorial emissions,England,http://gss-data.org.uk/def/climate-change/concept/local-authority-code/E06000045,http://reference.data.gov.uk/id/year/2017,Road Transport (A roads),Southampton,Transport,,,,89.448,http://gss-data.org.uk/data/climate-change/beis-2005-to-2019-local-authority-carbon-dioxide-co2-emissions/2005-to-2019-local-authority-carbon-dioxide-co2-emissions-dataset-revised.csv#unit/kt-co2
Territorial emissions,England,http://gss-data.org.uk/def/climate-change/concept/local-authority-code/E06000036,http://reference.data.gov.uk/id/year/2005,Commercial Gas,Bracknell Forest,Commercial,,,,36.936,http://gss-data.org.uk/data/climate-change/beis-2005-to-2019-local-authority-carbon-dioxide-co2-emissions/2005-to-2019-local-authority-carbon-dioxide-co2-emissions-dataset-revised.csv#unit/kt-co2
Territorial emissions,England,http://gss-data.org.uk/def/climate-change/concept/local-authority-code/E06000046,http://reference.data.gov.uk/id/year/2009,Public Sector Gas,Isle of Wight,Public Sector,,,,15.8164,http://gss-data.org.uk/data/climate-change/beis-2005-to-2019-local-authority-carbon-dioxide-co2-emissions/2005-to-2019-local-authority-carbon-dioxide-co2-emissions-dataset-revised.csv#unit/kt-co2
Territorial emissions,England,http://gss-data.org.uk/def/climate-change/concept/local-authority-code/E06000027,http://reference.data.gov.uk/id/year/2012,Transport Other,Torbay,Transport,,,,1.5438,http://gss-data.org.uk/data/climate-change/beis-2005-to-2019-local-authority-carbon-dioxide-co2-emissions/2005-to-2019-local-authority-carbon-dioxide-co2-emissions-dataset-revised.csv#unit/kt-co2
Territorial emissions,England,http://gss-data.org.uk/def/climate-change/concept/local-authority-code/E06000060,http://reference.data.gov.uk/id/year/2012,Road Transport (Motorways),Buckinghamshire,Transport,,,,600.9263,http://gss-data.org.uk/data/climate-change/beis-2005-to-2019-local-authority-carbon-dioxide-co2-emissions/2005-to-2019-local-authority-carbon-dioxide-co2-emissions-dataset-revised.csv#unit/kt-co2
