Measure type,Country,Reference Area,Reference Period,LA CO2 Sub-Sector,Local Authority,LA CO2 Sector,Territorial emissions per area,Emissions within the scope of influence of LAs,Territorial emissions per capita,Territorial emissions,Unit of Measure
Territorial emissions,England,http://gss-data.org.uk/def/climate-change/concept/local-authority-code/E06000009,http://reference.data.gov.uk/id/year/2018,Transport Other,Blackpool,Transport,,,,3.2363,http://gss-data.org.uk/data/climate-change/beis-2005-to-2019-local-authority-carbon-dioxide-co2-emissions/2005-to-2019-local-authority-carbon-dioxide-co2-emissions-dataset-revised.csv#unit/kt-co2
Territorial emissions,England,http://gss-data.org.uk/def/climate-change/concept/local-authority-code/E06000043,http://reference.data.gov.uk/id/year/2005,Industry Electricity,Brighton and Hove,Industry,,,,50.1483,http://gss-data.org.uk/data/climate-change/beis-2005-to-2019-local-authority-carbon-dioxide-co2-emissions/2005-to-2019-local-authority-carbon-dioxide-co2-emissions-dataset-revised.csv#unit/kt-co2
Territorial emissions,England,http://gss-data.org.uk/def/climate-change/concept/local-authority-code/E06000047,http://reference.data.gov.uk/id/year/2016,LULUCF Net Emissions: Wetlands,County Durham,LULUCF,,,,-10.1417,http://gss-data.org.uk/data/climate-change/beis-2005-to-2019-local-authority-carbon-dioxide-co2-emissions/2005-to-2019-local-authority-carbon-dioxide-co2-emissions-dataset-revised.csv#unit/kt-co2
Territorial emissions,England,http://gss-data.org.uk/def/climate-change/concept/local-authority-code/E06000001,http://reference.data.gov.uk/id/year/2007,Diesel Railways,Hartlepool,Transport,,,,0.8121,http://gss-data.org.uk/data/climate-change/beis-2005-to-2019-local-authority-carbon-dioxide-co2-emissions/2005-to-2019-local-authority-carbon-dioxide-co2-emissions-dataset-revised.csv#unit/kt-co2
Territorial emissions,England,http://gss-data.org.uk/def/climate-change/concept/local-authority-code/E06000060,http://reference.data.gov.uk/id/year/2019,Industry Gas,Buckinghamshire,Industry,,,,19.7886,http://gss-data.org.uk/data/climate-change/beis-2005-to-2019-local-authority-carbon-dioxide-co2-emissions/2005-to-2019-local-authority-carbon-dioxide-co2-emissions-dataset-revised.csv#unit/kt-co2
Territorial emissions,England,http://gss-data.org.uk/def/climate-change/concept/local-authority-code/E06000018,http://reference.data.gov.uk/id/year/2013,Commercial Gas,Nottingham,Commercial,,,,68.1006,http://gss-data.org.uk/data/climate-change/beis-2005-to-2019-local-authority-carbon-dioxide-co2-emissions/2005-to-2019-local-authority-carbon-dioxide-co2-emissions-dataset-revised.csv#unit/kt-co2
Territorial emissions,England,http://gss-data.org.uk/def/climate-change/concept/local-authority-code/E06000031,http://reference.data.gov.uk/id/year/2013,Public Sector Gas,Peterborough,Public Sector,,,,26.2999,http://gss-data.org.uk/data/climate-change/beis-2005-to-2019-local-authority-carbon-dioxide-co2-emissions/2005-to-2019-local-authority-carbon-dioxide-co2-emissions-dataset-revised.csv#unit/kt-co2
Territorial emissions,England,http://gss-data.org.uk/def/climate-change/concept/local-authority-code/E06000016,http://reference.data.gov.uk/id/year/2011,LULUCF Net Emissions: Grassland,Leicester,LULUCF,,,,-2.5989,http://gss-data.org.uk/data/climate-change/beis-2005-to-2019-local-authority-carbon-dioxide-co2-emissions/2005-to-2019-local-authority-carbon-dioxide-co2-emissions-dataset-revised.csv#unit/kt-co2
Territorial emissions,England,http://gss-data.org.uk/def/climate-change/concept/local-authority-code/E06000006,http://reference.data.gov.uk/id/year/2005,LULUCF Net Emissions: Grassland,Halton,LULUCF,,,,-1.9392,http://gss-data.org.uk/data/climate-change/beis-2005-to-2019-local-authority-carbon-dioxide-co2-emissions/2005-to-2019-local-authority-carbon-dioxide-co2-emissions-dataset-revised.csv#unit/kt-co2
Territorial emissions,England,http://gss-data.org.uk/def/climate-change/concept/local-authority-code/E06000057,http://reference.data.gov.uk/id/year/2007,Commercial Gas,Northumberland,Commercial,,,,51.1844,http://gss-data.org.uk/data/climate-change/beis-2005-to-2019-local-authority-carbon-dioxide-co2-emissions/2005-to-2019-local-authority-carbon-dioxide-co2-emissions-dataset-revised.csv#unit/kt-co2
Territorial emissions,England,http://gss-data.org.uk/def/climate-change/concept/local-authority-code/E06000041,http://reference.data.gov.uk/id/year/2013,Domestic Electricity,Wokingham,Domestic,,,,140.3611,http://gss-data.org.uk/data/climate-change/beis-2005-to-2019-local-authority-carbon-dioxide-co2-emissions/2005-to-2019-local-authority-carbon-dioxide-co2-emissions-dataset-revised.csv#unit/kt-co2
Territorial emissions,England,http://gss-data.org.uk/def/climate-change/concept/local-authority-code/E06000009,http://reference.data.gov.uk/id/year/2018,LULUCF Net Emissions: Forest land,Blackpool,LULUCF,,,,-0.365,http://gss-data.org.uk/data/climate-change/beis-2005-to-2019-local-authority-carbon-dioxide-co2-emissions/2005-to-2019-local-authority-carbon-dioxide-co2-emissions-dataset-revised.csv#unit/kt-co2
Territorial emissions,England,http://gss-data.org.uk/def/climate-change/concept/local-authority-code/E06000040,http://reference.data.gov.uk/id/year/2009,Commercial Electricity,Windsor and Maidenhead,Commercial,,,,147.7313,http://gss-data.org.uk/data/climate-change/beis-2005-to-2019-local-authority-carbon-dioxide-co2-emissions/2005-to-2019-local-authority-carbon-dioxide-co2-emissions-dataset-revised.csv#unit/kt-co2
Territorial emissions,England,http://gss-data.org.uk/def/climate-change/concept/local-authority-code/E06000043,http://reference.data.gov.uk/id/year/2005,Domestic Electricity,Brighton and Hove,Domestic,,,,264.0939,http://gss-data.org.uk/data/climate-change/beis-2005-to-2019-local-authority-carbon-dioxide-co2-emissions/2005-to-2019-local-authority-carbon-dioxide-co2-emissions-dataset-revised.csv#unit/kt-co2
Territorial emissions,England,http://gss-data.org.uk/def/climate-change/concept/local-authority-code/E06000039,http://reference.data.gov.uk/id/year/2017,Industry Electricity,Slough,Industry,,,,106.9195,http://gss-data.org.uk/data/climate-change/beis-2005-to-2019-local-authority-carbon-dioxide-co2-emissions/2005-to-2019-local-authority-carbon-dioxide-co2-emissions-dataset-revised.csv#unit/kt-co2
Territorial emissions,England,http://gss-data.org.uk/def/climate-change/concept/local-authority-code/E06000060,http://reference.data.gov.uk/id/year/2019,Domestic Gas,Buckinghamshire,Domestic,,,,584.4722,http://gss-data.org.uk/data/climate-change/beis-2005-to-2019-local-authority-carbon-dioxide-co2-emissions/2005-to-2019-local-authority-carbon-dioxide-co2-emissions-dataset-revised.csv#unit/kt-co2
Territorial emissions,England,http://gss-data.org.uk/def/climate-change/concept/local-authority-code/E06000046,http://reference.data.gov.uk/id/year/2011,Road Transport (Minor roads),Isle of Wight,Transport,,,,47.2279,http://gss-data.org.uk/data/climate-change/beis-2005-to-2019-local-authority-carbon-dioxide-co2-emissions/2005-to-2019-local-authority-carbon-dioxide-co2-emissions-dataset-revised.csv#unit/kt-co2
Territorial emissions,England,http://gss-data.org.uk/def/climate-change/concept/local-authority-code/E06000013,http://reference.data.gov.uk/id/year/2008,Diesel Railways,North Lincolnshire,Transport,,,,19.2285,http://gss-data.org.uk/data/climate-change/beis-2005-to-2019-local-authority-carbon-dioxide-co2-emissions/2005-to-2019-local-authority-carbon-dioxide-co2-emissions-dataset-revised.csv#unit/kt-co2
Territorial emissions,England,http://gss-data.org.uk/def/climate-change/concept/local-authority-code/E06000039,http://reference.data.gov.uk/id/year/2017,Domestic Electricity,Slough,Domestic,,,,50.1623,http://gss-data.org.uk/data/climate-change/beis-2005-to-2019-local-authority-carbon-dioxide-co2-emissions/2005-to-2019-local-authority-carbon-dioxide-co2-emissions-dataset-revised.csv#unit/kt-co2
Territorial emissions,England,http://gss-data.org.uk/def/climate-change/concept/local-authority-code/E06000040,http://reference.data.gov.uk/id/year/2013,LULUCF Net Emissions: Forest land,Windsor and Maidenhead,LULUCF,,,,-25.0837,http://gss-data.org.uk/data/climate-change/beis-2005-to-2019-local-authority-carbon-dioxide-co2-emissions/2005-to-2019-local-authority-carbon-dioxide-co2-emissions-dataset-revised.csv#unit/kt-co2
Territorial emissions,England,http://gss-data.org.uk/def/climate-change/concept/local-authority-code/E06000050,http://reference.data.gov.uk/id/year/2009,Domestic Electricity,Cheshire West and Chester,Domestic,,,,304.0063,http://gss-data.org.uk/data/climate-change/beis-2005-to-2019-local-authority-carbon-dioxide-co2-emissions/2005-to-2019-local-authority-carbon-dioxide-co2-emissions-dataset-revised.csv#unit/kt-co2
Territorial emissions,England,http://gss-data.org.uk/def/climate-change/concept/local-authority-code/E06000003,http://reference.data.gov.uk/id/year/2012,Industry Gas,Redcar and Cleveland,Industry,,,,73.543,http://gss-data.org.uk/data/climate-change/beis-2005-to-2019-local-authority-carbon-dioxide-co2-emissions/2005-to-2019-local-authority-carbon-dioxide-co2-emissions-dataset-revised.csv#unit/kt-co2
Territorial emissions,England,http://gss-data.org.uk/def/climate-change/concept/local-authority-code/E06000049,http://reference.data.gov.uk/id/year/2014,LULUCF Net Emissions: Forest land,Cheshire East,LULUCF,,,,-31.7736,http://gss-data.org.uk/data/climate-change/beis-2005-to-2019-local-authority-carbon-dioxide-co2-emissions/2005-to-2019-local-authority-carbon-dioxide-co2-emissions-dataset-revised.csv#unit/kt-co2
Territorial emissions,England,http://gss-data.org.uk/def/climate-change/concept/local-authority-code/E06000006,http://reference.data.gov.uk/id/year/2013,Public Sector Electricity,Halton,Public Sector,,,,23.8413,http://gss-data.org.uk/data/climate-change/beis-2005-to-2019-local-authority-carbon-dioxide-co2-emissions/2005-to-2019-local-authority-carbon-dioxide-co2-emissions-dataset-revised.csv#unit/kt-co2
Territorial emissions,England,http://gss-data.org.uk/def/climate-change/concept/local-authority-code/E06000040,http://reference.data.gov.uk/id/year/2013,Transport Other,Windsor and Maidenhead,Transport,,,,18.3074,http://gss-data.org.uk/data/climate-change/beis-2005-to-2019-local-authority-carbon-dioxide-co2-emissions/2005-to-2019-local-authority-carbon-dioxide-co2-emissions-dataset-revised.csv#unit/kt-co2
Territorial emissions,England,http://gss-data.org.uk/def/climate-change/concept/local-authority-code/E06000027,http://reference.data.gov.uk/id/year/2018,LULUCF Net Emissions: Grassland,Torbay,LULUCF,,,,-2.9159,http://gss-data.org.uk/data/climate-change/beis-2005-to-2019-local-authority-carbon-dioxide-co2-emissions/2005-to-2019-local-authority-carbon-dioxide-co2-emissions-dataset-revised.csv#unit/kt-co2
Territorial emissions,England,http://gss-data.org.uk/def/climate-change/concept/local-authority-code/E06000034,http://reference.data.gov.uk/id/year/2010,Domestic Gas,Thurrock,Domestic,,,,162.7057,http://gss-data.org.uk/data/climate-change/beis-2005-to-2019-local-authority-carbon-dioxide-co2-emissions/2005-to-2019-local-authority-carbon-dioxide-co2-emissions-dataset-revised.csv#unit/kt-co2
Territorial emissions,England,http://gss-data.org.uk/def/climate-change/concept/local-authority-code/E06000043,http://reference.data.gov.uk/id/year/2016,Domestic Electricity,Brighton and Hove,Domestic,,,,125.1679,http://gss-data.org.uk/data/climate-change/beis-2005-to-2019-local-authority-carbon-dioxide-co2-emissions/2005-to-2019-local-authority-carbon-dioxide-co2-emissions-dataset-revised.csv#unit/kt-co2
Territorial emissions,England,http://gss-data.org.uk/def/climate-change/concept/local-authority-code/E06000049,http://reference.data.gov.uk/id/year/2014,Transport Other,Cheshire East,Transport,,,,63.1496,http://gss-data.org.uk/data/climate-change/beis-2005-to-2019-local-authority-carbon-dioxide-co2-emissions/2005-to-2019-local-authority-carbon-dioxide-co2-emissions-dataset-revised.csv#unit/kt-co2
Territorial emissions,England,http://gss-data.org.uk/def/climate-change/concept/local-authority-code/E06000055,http://reference.data.gov.uk/id/year/2009,LULUCF Net Emissions: Grassland,Bedford,LULUCF,,,,-13.8426,http://gss-data.org.uk/data/climate-change/beis-2005-to-2019-local-authority-carbon-dioxide-co2-emissions/2005-to-2019-local-authority-carbon-dioxide-co2-emissions-dataset-revised.csv#unit/kt-co2
Territorial emissions,England,http://gss-data.org.uk/def/climate-change/concept/local-authority-code/E06000003,http://reference.data.gov.uk/id/year/2012,Domestic Gas,Redcar and Cleveland,Domestic,,,,161.6681,http://gss-data.org.uk/data/climate-change/beis-2005-to-2019-local-authority-carbon-dioxide-co2-emissions/2005-to-2019-local-authority-carbon-dioxide-co2-emissions-dataset-revised.csv#unit/kt-co2
Territorial emissions,England,http://gss-data.org.uk/def/climate-change/concept/local-authority-code/E06000035,http://reference.data.gov.uk/id/year/2006,Road Transport (A roads),Medway,Transport,,,,147.5887,http://gss-data.org.uk/data/climate-change/beis-2005-to-2019-local-authority-carbon-dioxide-co2-emissions/2005-to-2019-local-authority-carbon-dioxide-co2-emissions-dataset-revised.csv#unit/kt-co2
Territorial emissions,England,http://gss-data.org.uk/def/climate-change/concept/local-authority-code/E06000041,http://reference.data.gov.uk/id/year/2006,Public Sector Electricity,Wokingham,Public Sector,,,,22.983,http://gss-data.org.uk/data/climate-change/beis-2005-to-2019-local-authority-carbon-dioxide-co2-emissions/2005-to-2019-local-authority-carbon-dioxide-co2-emissions-dataset-revised.csv#unit/kt-co2
Territorial emissions,England,http://gss-data.org.uk/def/climate-change/concept/local-authority-code/E06000039,http://reference.data.gov.uk/id/year/2006,Industry Electricity,Slough,Industry,,,,86.8791,http://gss-data.org.uk/data/climate-change/beis-2005-to-2019-local-authority-carbon-dioxide-co2-emissions/2005-to-2019-local-authority-carbon-dioxide-co2-emissions-dataset-revised.csv#unit/kt-co2
Territorial emissions,England,http://gss-data.org.uk/def/climate-change/concept/local-authority-code/E06000001,http://reference.data.gov.uk/id/year/2006,Large Industrial Installations,Hartlepool,Industry,,,,176.1929,http://gss-data.org.uk/data/climate-change/beis-2005-to-2019-local-authority-carbon-dioxide-co2-emissions/2005-to-2019-local-authority-carbon-dioxide-co2-emissions-dataset-revised.csv#unit/kt-co2
Territorial emissions,England,http://gss-data.org.uk/def/climate-change/concept/local-authority-code/E06000010,http://reference.data.gov.uk/id/year/2015,Commercial 'Other Fuels',"Kingston upon Hull, City of",Commercial,,,,0.4504,http://gss-data.org.uk/data/climate-change/beis-2005-to-2019-local-authority-carbon-dioxide-co2-emissions/2005-to-2019-local-authority-carbon-dioxide-co2-emissions-dataset-revised.csv#unit/kt-co2
Territorial emissions,England,http://gss-data.org.uk/def/climate-change/concept/local-authority-code/E06000026,http://reference.data.gov.uk/id/year/2018,LULUCF Net Emissions: Forest land,Plymouth,LULUCF,,,,-5.279,http://gss-data.org.uk/data/climate-change/beis-2005-to-2019-local-authority-carbon-dioxide-co2-emissions/2005-to-2019-local-authority-carbon-dioxide-co2-emissions-dataset-revised.csv#unit/kt-co2
Territorial emissions,England,http://gss-data.org.uk/def/climate-change/concept/local-authority-code/E06000050,http://reference.data.gov.uk/id/year/2009,Industry Electricity,Cheshire West and Chester,Industry,,,,382.5451,http://gss-data.org.uk/data/climate-change/beis-2005-to-2019-local-authority-carbon-dioxide-co2-emissions/2005-to-2019-local-authority-carbon-dioxide-co2-emissions-dataset-revised.csv#unit/kt-co2
Territorial emissions,England,http://gss-data.org.uk/def/climate-change/concept/local-authority-code/E06000046,http://reference.data.gov.uk/id/year/2013,Public Sector 'Other Fuels',Isle of Wight,Public Sector,,,,0.6854,http://gss-data.org.uk/data/climate-change/beis-2005-to-2019-local-authority-carbon-dioxide-co2-emissions/2005-to-2019-local-authority-carbon-dioxide-co2-emissions-dataset-revised.csv#unit/kt-co2
Territorial emissions,England,http://gss-data.org.uk/def/climate-change/concept/local-authority-code/E06000047,http://reference.data.gov.uk/id/year/2005,LULUCF Net Emissions: Wetlands,County Durham,LULUCF,,,,-10.1417,http://gss-data.org.uk/data/climate-change/beis-2005-to-2019-local-authority-carbon-dioxide-co2-emissions/2005-to-2019-local-authority-carbon-dioxide-co2-emissions-dataset-revised.csv#unit/kt-co2
Territorial emissions,England,http://gss-data.org.uk/def/climate-change/concept/local-authority-code/E06000019,http://reference.data.gov.uk/id/year/2017,Road Transport (Minor roads),"Herefordshire, County of",Transport,,,,134.0891,http://gss-data.org.uk/data/climate-change/beis-2005-to-2019-local-authority-carbon-dioxide-co2-emissions/2005-to-2019-local-authority-carbon-dioxide-co2-emissions-dataset-revised.csv#unit/kt-co2
Territorial emissions,England,http://gss-data.org.uk/def/climate-change/concept/local-authority-code/E06000003,http://reference.data.gov.uk/id/year/2019,Commercial 'Other Fuels',Redcar and Cleveland,Commercial,,,,0.3777,http://gss-data.org.uk/data/climate-change/beis-2005-to-2019-local-authority-carbon-dioxide-co2-emissions/2005-to-2019-local-authority-carbon-dioxide-co2-emissions-dataset-revised.csv#unit/kt-co2
Territorial emissions,England,http://gss-data.org.uk/def/climate-change/concept/local-authority-code/E06000026,http://reference.data.gov.uk/id/year/2018,Transport Other,Plymouth,Transport,,,,1.6023,http://gss-data.org.uk/data/climate-change/beis-2005-to-2019-local-authority-carbon-dioxide-co2-emissions/2005-to-2019-local-authority-carbon-dioxide-co2-emissions-dataset-revised.csv#unit/kt-co2
Territorial emissions,England,http://gss-data.org.uk/def/climate-change/concept/local-authority-code/E06000051,http://reference.data.gov.uk/id/year/2005,Commercial Electricity,Shropshire,Commercial,,,,227.3866,http://gss-data.org.uk/data/climate-change/beis-2005-to-2019-local-authority-carbon-dioxide-co2-emissions/2005-to-2019-local-authority-carbon-dioxide-co2-emissions-dataset-revised.csv#unit/kt-co2
Territorial emissions,England,http://gss-data.org.uk/def/climate-change/concept/local-authority-code/E06000039,http://reference.data.gov.uk/id/year/2006,Domestic Electricity,Slough,Domestic,,,,108.9804,http://gss-data.org.uk/data/climate-change/beis-2005-to-2019-local-authority-carbon-dioxide-co2-emissions/2005-to-2019-local-authority-carbon-dioxide-co2-emissions-dataset-revised.csv#unit/kt-co2
Territorial emissions,England,http://gss-data.org.uk/def/climate-change/concept/local-authority-code/E06000043,http://reference.data.gov.uk/id/year/2006,LULUCF Net Emissions: Grassland,Brighton and Hove,LULUCF,,,,-3.0808,http://gss-data.org.uk/data/climate-change/beis-2005-to-2019-local-authority-carbon-dioxide-co2-emissions/2005-to-2019-local-authority-carbon-dioxide-co2-emissions-dataset-revised.csv#unit/kt-co2
Territorial emissions,England,http://gss-data.org.uk/def/climate-change/concept/local-authority-code/E06000043,http://reference.data.gov.uk/id/year/2016,Industry Electricity,Brighton and Hove,Industry,,,,22.9495,http://gss-data.org.uk/data/climate-change/beis-2005-to-2019-local-authority-carbon-dioxide-co2-emissions/2005-to-2019-local-authority-carbon-dioxide-co2-emissions-dataset-revised.csv#unit/kt-co2
Territorial emissions,England,http://gss-data.org.uk/def/climate-change/concept/local-authority-code/E06000034,http://reference.data.gov.uk/id/year/2010,Industry Gas,Thurrock,Industry,,,,119.1863,http://gss-data.org.uk/data/climate-change/beis-2005-to-2019-local-authority-carbon-dioxide-co2-emissions/2005-to-2019-local-authority-carbon-dioxide-co2-emissions-dataset-revised.csv#unit/kt-co2
Territorial emissions,England,http://gss-data.org.uk/def/climate-change/concept/local-authority-code/E06000027,http://reference.data.gov.uk/id/year/2007,LULUCF Net Emissions: Grassland,Torbay,LULUCF,,,,-2.4006,http://gss-data.org.uk/data/climate-change/beis-2005-to-2019-local-authority-carbon-dioxide-co2-emissions/2005-to-2019-local-authority-carbon-dioxide-co2-emissions-dataset-revised.csv#unit/kt-co2
Territorial emissions,England,http://gss-data.org.uk/def/climate-change/concept/local-authority-code/E06000010,http://reference.data.gov.uk/id/year/2013,Road Transport (Minor roads),"Kingston upon Hull, City of",Transport,,,,181.1236,http://gss-data.org.uk/data/climate-change/beis-2005-to-2019-local-authority-carbon-dioxide-co2-emissions/2005-to-2019-local-authority-carbon-dioxide-co2-emissions-dataset-revised.csv#unit/kt-co2
Territorial emissions,England,http://gss-data.org.uk/def/climate-change/concept/local-authority-code/E06000019,http://reference.data.gov.uk/id/year/2006,Road Transport (Minor roads),"Herefordshire, County of",Transport,,,,126.4127,http://gss-data.org.uk/data/climate-change/beis-2005-to-2019-local-authority-carbon-dioxide-co2-emissions/2005-to-2019-local-authority-carbon-dioxide-co2-emissions-dataset-revised.csv#unit/kt-co2
Territorial emissions,England,http://gss-data.org.uk/def/climate-change/concept/local-authority-code/E06000041,http://reference.data.gov.uk/id/year/2017,Public Sector Electricity,Wokingham,Public Sector,,,,9.4522,http://gss-data.org.uk/data/climate-change/beis-2005-to-2019-local-authority-carbon-dioxide-co2-emissions/2005-to-2019-local-authority-carbon-dioxide-co2-emissions-dataset-revised.csv#unit/kt-co2
Territorial emissions,England,http://gss-data.org.uk/def/climate-change/concept/local-authority-code/E06000022,http://reference.data.gov.uk/id/year/2015,Industry Gas,Bath and North East Somerset,Industry,,,,5.9371,http://gss-data.org.uk/data/climate-change/beis-2005-to-2019-local-authority-carbon-dioxide-co2-emissions/2005-to-2019-local-authority-carbon-dioxide-co2-emissions-dataset-revised.csv#unit/kt-co2
Territorial emissions,England,http://gss-data.org.uk/def/climate-change/concept/local-authority-code/E06000021,http://reference.data.gov.uk/id/year/2013,LULUCF Net Emissions: Grassland,Stoke-on-Trent,LULUCF,,,,-4.0895,http://gss-data.org.uk/data/climate-change/beis-2005-to-2019-local-authority-carbon-dioxide-co2-emissions/2005-to-2019-local-authority-carbon-dioxide-co2-emissions-dataset-revised.csv#unit/kt-co2
Territorial emissions,England,http://gss-data.org.uk/def/climate-change/concept/local-authority-code/E06000003,http://reference.data.gov.uk/id/year/2008,Commercial 'Other Fuels',Redcar and Cleveland,Commercial,,,,0.5612,http://gss-data.org.uk/data/climate-change/beis-2005-to-2019-local-authority-carbon-dioxide-co2-emissions/2005-to-2019-local-authority-carbon-dioxide-co2-emissions-dataset-revised.csv#unit/kt-co2
Territorial emissions,England,http://gss-data.org.uk/def/climate-change/concept/local-authority-code/E06000026,http://reference.data.gov.uk/id/year/2007,LULUCF Net Emissions: Forest land,Plymouth,LULUCF,,,,-4.8623,http://gss-data.org.uk/data/climate-change/beis-2005-to-2019-local-authority-carbon-dioxide-co2-emissions/2005-to-2019-local-authority-carbon-dioxide-co2-emissions-dataset-revised.csv#unit/kt-co2
Territorial emissions,England,http://gss-data.org.uk/def/climate-change/concept/local-authority-code/E06000043,http://reference.data.gov.uk/id/year/2017,LULUCF Net Emissions: Grassland,Brighton and Hove,LULUCF,,,,-4.115,http://gss-data.org.uk/data/climate-change/beis-2005-to-2019-local-authority-carbon-dioxide-co2-emissions/2005-to-2019-local-authority-carbon-dioxide-co2-emissions-dataset-revised.csv#unit/kt-co2
Territorial emissions,England,http://gss-data.org.uk/def/climate-change/concept/local-authority-code/E06000014,http://reference.data.gov.uk/id/year/2010,Road Transport (Minor roads),York,Transport,,,,103.8729,http://gss-data.org.uk/data/climate-change/beis-2005-to-2019-local-authority-carbon-dioxide-co2-emissions/2005-to-2019-local-authority-carbon-dioxide-co2-emissions-dataset-revised.csv#unit/kt-co2
Territorial emissions,England,http://gss-data.org.uk/def/climate-change/concept/local-authority-code/E06000035,http://reference.data.gov.uk/id/year/2017,Road Transport (A roads),Medway,Transport,,,,123.9337,http://gss-data.org.uk/data/climate-change/beis-2005-to-2019-local-authority-carbon-dioxide-co2-emissions/2005-to-2019-local-authority-carbon-dioxide-co2-emissions-dataset-revised.csv#unit/kt-co2
Territorial emissions,England,http://gss-data.org.uk/def/climate-change/concept/local-authority-code/E06000023,http://reference.data.gov.uk/id/year/2011,Industry Electricity,"Bristol, City of",Industry,,,,148.306,http://gss-data.org.uk/data/climate-change/beis-2005-to-2019-local-authority-carbon-dioxide-co2-emissions/2005-to-2019-local-authority-carbon-dioxide-co2-emissions-dataset-revised.csv#unit/kt-co2
Territorial emissions,England,http://gss-data.org.uk/def/climate-change/concept/local-authority-code/E06000047,http://reference.data.gov.uk/id/year/2014,LULUCF Net Emissions: Settlements,County Durham,LULUCF,,,,22.5126,http://gss-data.org.uk/data/climate-change/beis-2005-to-2019-local-authority-carbon-dioxide-co2-emissions/2005-to-2019-local-authority-carbon-dioxide-co2-emissions-dataset-revised.csv#unit/kt-co2
Territorial emissions,England,http://gss-data.org.uk/def/climate-change/concept/local-authority-code/E06000022,http://reference.data.gov.uk/id/year/2015,Domestic Gas,Bath and North East Somerset,Domestic,,,,165.0708,http://gss-data.org.uk/data/climate-change/beis-2005-to-2019-local-authority-carbon-dioxide-co2-emissions/2005-to-2019-local-authority-carbon-dioxide-co2-emissions-dataset-revised.csv#unit/kt-co2
Territorial emissions,England,http://gss-data.org.uk/def/climate-change/concept/local-authority-code/E06000045,http://reference.data.gov.uk/id/year/2010,Industry Gas,Southampton,Industry,,,,38.8674,http://gss-data.org.uk/data/climate-change/beis-2005-to-2019-local-authority-carbon-dioxide-co2-emissions/2005-to-2019-local-authority-carbon-dioxide-co2-emissions-dataset-revised.csv#unit/kt-co2
Territorial emissions,England,http://gss-data.org.uk/def/climate-change/concept/local-authority-code/E06000043,http://reference.data.gov.uk/id/year/2009,Public Sector Electricity,Brighton and Hove,Public Sector,,,,46.4173,http://gss-data.org.uk/data/climate-change/beis-2005-to-2019-local-authority-carbon-dioxide-co2-emissions/2005-to-2019-local-authority-carbon-dioxide-co2-emissions-dataset-revised.csv#unit/kt-co2
Territorial emissions,England,http://gss-data.org.uk/def/climate-change/concept/local-authority-code/E06000023,http://reference.data.gov.uk/id/year/2011,Domestic Electricity,"Bristol, City of",Domestic,,,,354.3059,http://gss-data.org.uk/data/climate-change/beis-2005-to-2019-local-authority-carbon-dioxide-co2-emissions/2005-to-2019-local-authority-carbon-dioxide-co2-emissions-dataset-revised.csv#unit/kt-co2
Territorial emissions,England,http://gss-data.org.uk/def/climate-change/concept/local-authority-code/E06000001,http://reference.data.gov.uk/id/year/2008,Agriculture,Hartlepool,Industry,,,,1.8576,http://gss-data.org.uk/data/climate-change/beis-2005-to-2019-local-authority-carbon-dioxide-co2-emissions/2005-to-2019-local-authority-carbon-dioxide-co2-emissions-dataset-revised.csv#unit/kt-co2
Territorial emissions,England,http://gss-data.org.uk/def/climate-change/concept/local-authority-code/E06000045,http://reference.data.gov.uk/id/year/2010,Domestic Gas,Southampton,Domestic,,,,209.5117,http://gss-data.org.uk/data/climate-change/beis-2005-to-2019-local-authority-carbon-dioxide-co2-emissions/2005-to-2019-local-authority-carbon-dioxide-co2-emissions-dataset-revised.csv#unit/kt-co2
Territorial emissions,England,http://gss-data.org.uk/def/climate-change/concept/local-authority-code/E06000026,http://reference.data.gov.uk/id/year/2007,Transport Other,Plymouth,Transport,,,,2.12,http://gss-data.org.uk/data/climate-change/beis-2005-to-2019-local-authority-carbon-dioxide-co2-emissions/2005-to-2019-local-authority-carbon-dioxide-co2-emissions-dataset-revised.csv#unit/kt-co2
Territorial emissions,England,http://gss-data.org.uk/def/climate-change/concept/local-authority-code/E06000001,http://reference.data.gov.uk/id/year/2019,Agriculture,Hartlepool,Industry,,,,1.946,http://gss-data.org.uk/data/climate-change/beis-2005-to-2019-local-authority-carbon-dioxide-co2-emissions/2005-to-2019-local-authority-carbon-dioxide-co2-emissions-dataset-revised.csv#unit/kt-co2
Territorial emissions,England,http://gss-data.org.uk/def/climate-change/concept/local-authority-code/E06000012,http://reference.data.gov.uk/id/year/2017,Road Transport (Minor roads),North East Lincolnshire,Transport,,,,119.7428,http://gss-data.org.uk/data/climate-change/beis-2005-to-2019-local-authority-carbon-dioxide-co2-emissions/2005-to-2019-local-authority-carbon-dioxide-co2-emissions-dataset-revised.csv#unit/kt-co2
Territorial emissions,England,http://gss-data.org.uk/def/climate-change/concept/local-authority-code/E06000030,http://reference.data.gov.uk/id/year/2011,Road Transport (Minor roads),Swindon,Transport,,,,176.9634,http://gss-data.org.uk/data/climate-change/beis-2005-to-2019-local-authority-carbon-dioxide-co2-emissions/2005-to-2019-local-authority-carbon-dioxide-co2-emissions-dataset-revised.csv#unit/kt-co2
