Year,Section Notation,Industry Section Name,Fuel,Value,Marker
1990,A,"Agriculture, forestry and fishing",Carbon based fuels,2.017,
1991,A,"Agriculture, forestry and fishing",Carbon based fuels,2.077,
1992,A,"Agriculture, forestry and fishing",Carbon based fuels,2.147,
1993,A,"Agriculture, forestry and fishing",Carbon based fuels,2.081,
1994,A,"Agriculture, forestry and fishing",Carbon based fuels,2.102,
1995,A,"Agriculture, forestry and fishing",Carbon based fuels,2.149,
1996,A,"Agriculture, forestry and fishing",Carbon based fuels,2.284,
1997,A,"Agriculture, forestry and fishing",Carbon based fuels,2.171,
1998,A,"Agriculture, forestry and fishing",Carbon based fuels,2.116,
1999,A,"Agriculture, forestry and fishing",Carbon based fuels,2.196,
2000,A,"Agriculture, forestry and fishing",Carbon based fuels,2.082,
2001,A,"Agriculture, forestry and fishing",Carbon based fuels,2.096,
2002,A,"Agriculture, forestry and fishing",Carbon based fuels,2.178,
2003,A,"Agriculture, forestry and fishing",Carbon based fuels,2.195,
2004,A,"Agriculture, forestry and fishing",Carbon based fuels,2.313,
2005,A,"Agriculture, forestry and fishing",Carbon based fuels,2.332,
2006,A,"Agriculture, forestry and fishing",Carbon based fuels,2.284,
2007,A,"Agriculture, forestry and fishing",Carbon based fuels,2.305,
2008,A,"Agriculture, forestry and fishing",Carbon based fuels,2.545,
2009,A,"Agriculture, forestry and fishing",Carbon based fuels,2.377,
2010,A,"Agriculture, forestry and fishing",Carbon based fuels,2.278,
2011,A,"Agriculture, forestry and fishing",Carbon based fuels,2.068,
2012,A,"Agriculture, forestry and fishing",Carbon based fuels,2.366,
2013,A,"Agriculture, forestry and fishing",Carbon based fuels,2.06,
2014,A,"Agriculture, forestry and fishing",Carbon based fuels,2.192,
2015,A,"Agriculture, forestry and fishing",Carbon based fuels,2.367,
2016,A,"Agriculture, forestry and fishing",Carbon based fuels,2.259,
2017,A,"Agriculture, forestry and fishing",Carbon based fuels,2.356,
2018,A,"Agriculture, forestry and fishing",Carbon based fuels,2.328,
2019,A,"Agriculture, forestry and fishing",Carbon based fuels,2.112,
2020,A,"Agriculture, forestry and fishing",Carbon based fuels,2.043,
2021,A,"Agriculture, forestry and fishing",Carbon based fuels,2.354,
1990,B,Mining and quarrying,Carbon based fuels,7.186,
1991,B,Mining and quarrying,Carbon based fuels,7.111,
1992,B,Mining and quarrying,Carbon based fuels,7.384,
1993,B,Mining and quarrying,Carbon based fuels,7.853,
1994,B,Mining and quarrying,Carbon based fuels,7.947,
1995,B,Mining and quarrying,Carbon based fuels,7.776,
1996,B,Mining and quarrying,Carbon based fuels,8.136,
1997,B,Mining and quarrying,Carbon based fuels,8.556,
1998,B,Mining and quarrying,Carbon based fuels,8.88,
1999,B,Mining and quarrying,Carbon based fuels,8.884,
2000,B,Mining and quarrying,Carbon based fuels,8.845,
2001,B,Mining and quarrying,Carbon based fuels,9.254,
2002,B,Mining and quarrying,Carbon based fuels,8.933,
2003,B,Mining and quarrying,Carbon based fuels,8.574,
2004,B,Mining and quarrying,Carbon based fuels,8.307,
2005,B,Mining and quarrying,Carbon based fuels,8.004,
2006,B,Mining and quarrying,Carbon based fuels,7.558,
2007,B,Mining and quarrying,Carbon based fuels,7.325,
2008,B,Mining and quarrying,Carbon based fuels,7.347,
2009,B,Mining and quarrying,Carbon based fuels,7.217,
2010,B,Mining and quarrying,Carbon based fuels,7.088,
2011,B,Mining and quarrying,Carbon based fuels,6.121,
2012,B,Mining and quarrying,Carbon based fuels,5.593,
2013,B,Mining and quarrying,Carbon based fuels,5.397,
2014,B,Mining and quarrying,Carbon based fuels,5.355,
2015,B,Mining and quarrying,Carbon based fuels,5.91,
2016,B,Mining and quarrying,Carbon based fuels,5.857,
2017,B,Mining and quarrying,Carbon based fuels,5.882,
2018,B,Mining and quarrying,Carbon based fuels,5.714,
2019,B,Mining and quarrying,Carbon based fuels,5.866,
2020,B,Mining and quarrying,Carbon based fuels,5.614,
2021,B,Mining and quarrying,Carbon based fuels,5.109,
1990,C,Manufacturing,Carbon based fuels,53.009,
1991,C,Manufacturing,Carbon based fuels,53.279,
1992,C,Manufacturing,Carbon based fuels,51.283,
1993,C,Manufacturing,Carbon based fuels,50.629,
1994,C,Manufacturing,Carbon based fuels,51.153,
1995,C,Manufacturing,Carbon based fuels,50.922,
1996,C,Manufacturing,Carbon based fuels,51.897,
1997,C,Manufacturing,Carbon based fuels,51.57,
1998,C,Manufacturing,Carbon based fuels,50.269,
1999,C,Manufacturing,Carbon based fuels,50.676,
2000,C,Manufacturing,Carbon based fuels,50.59,
2001,C,Manufacturing,Carbon based fuels,47.947,
2002,C,Manufacturing,Carbon based fuels,44.388,
2003,C,Manufacturing,Carbon based fuels,45.624,
2004,C,Manufacturing,Carbon based fuels,44.628,
2005,C,Manufacturing,Carbon based fuels,45.13,
2006,C,Manufacturing,Carbon based fuels,43.942,
2007,C,Manufacturing,Carbon based fuels,42.839,
2008,C,Manufacturing,Carbon based fuels,40.518,
2009,C,Manufacturing,Carbon based fuels,35.042,
2010,C,Manufacturing,Carbon based fuels,35.965,
2011,C,Manufacturing,Carbon based fuels,34.94,
2012,C,Manufacturing,Carbon based fuels,33.296,
2013,C,Manufacturing,Carbon based fuels,33.957,
2014,C,Manufacturing,Carbon based fuels,32.682,
2015,C,Manufacturing,Carbon based fuels,30.726,
2016,C,Manufacturing,Carbon based fuels,27.934,
2017,C,Manufacturing,Carbon based fuels,27.86,
2018,C,Manufacturing,Carbon based fuels,27.27,
2019,C,Manufacturing,Carbon based fuels,27.236,
2020,C,Manufacturing,Carbon based fuels,26.0,
2021,C,Manufacturing,Carbon based fuels,26.015,
1990,D,"Electricity, gas, steam and air conditioning supply",Carbon based fuels,56.038,
1991,D,"Electricity, gas, steam and air conditioning supply",Carbon based fuels,54.594,
1992,D,"Electricity, gas, steam and air conditioning supply",Carbon based fuels,51.866,
1993,D,"Electricity, gas, steam and air conditioning supply",Carbon based fuels,49.416,
1994,D,"Electricity, gas, steam and air conditioning supply",Carbon based fuels,49.482,
1995,D,"Electricity, gas, steam and air conditioning supply",Carbon based fuels,50.426,
1996,D,"Electricity, gas, steam and air conditioning supply",Carbon based fuels,51.483,
1997,D,"Electricity, gas, steam and air conditioning supply",Carbon based fuels,49.632,
1998,D,"Electricity, gas, steam and air conditioning supply",Carbon based fuels,51.581,
1999,D,"Electricity, gas, steam and air conditioning supply",Carbon based fuels,51.658,
2000,D,"Electricity, gas, steam and air conditioning supply",Carbon based fuels,55.29,
2001,D,"Electricity, gas, steam and air conditioning supply",Carbon based fuels,57.874,
2002,D,"Electricity, gas, steam and air conditioning supply",Carbon based fuels,56.76,
2003,D,"Electricity, gas, steam and air conditioning supply",Carbon based fuels,59.025,
2004,D,"Electricity, gas, steam and air conditioning supply",Carbon based fuels,59.611,
2005,D,"Electricity, gas, steam and air conditioning supply",Carbon based fuels,59.868,
2006,D,"Electricity, gas, steam and air conditioning supply",Carbon based fuels,61.582,
2007,D,"Electricity, gas, steam and air conditioning supply",Carbon based fuels,61.772,
2008,D,"Electricity, gas, steam and air conditioning supply",Carbon based fuels,61.432,
2009,D,"Electricity, gas, steam and air conditioning supply",Carbon based fuels,54.616,
2010,D,"Electricity, gas, steam and air conditioning supply",Carbon based fuels,56.961,
2011,D,"Electricity, gas, steam and air conditioning supply",Carbon based fuels,51.117,
2012,D,"Electricity, gas, steam and air conditioning supply",Carbon based fuels,51.341,
2013,D,"Electricity, gas, steam and air conditioning supply",Carbon based fuels,48.081,
2014,D,"Electricity, gas, steam and air conditioning supply",Carbon based fuels,41.951,
2015,D,"Electricity, gas, steam and air conditioning supply",Carbon based fuels,36.07,
2016,D,"Electricity, gas, steam and air conditioning supply",Carbon based fuels,32.787,
2017,D,"Electricity, gas, steam and air conditioning supply",Carbon based fuels,29.406,
2018,D,"Electricity, gas, steam and air conditioning supply",Carbon based fuels,27.007,
2019,D,"Electricity, gas, steam and air conditioning supply",Carbon based fuels,24.494,
2020,D,"Electricity, gas, steam and air conditioning supply",Carbon based fuels,20.725,
2021,D,"Electricity, gas, steam and air conditioning supply",Carbon based fuels,22.774,
1990,E,"Water supply; sewerage, waste management and remediation activities",Carbon based fuels,0.734,
1991,E,"Water supply; sewerage, waste management and remediation activities",Carbon based fuels,0.992,
1992,E,"Water supply; sewerage, waste management and remediation activities",Carbon based fuels,0.992,
1993,E,"Water supply; sewerage, waste management and remediation activities",Carbon based fuels,0.962,
1994,E,"Water supply; sewerage, waste management and remediation activities",Carbon based fuels,0.978,
1995,E,"Water supply; sewerage, waste management and remediation activities",Carbon based fuels,0.949,
1996,E,"Water supply; sewerage, waste management and remediation activities",Carbon based fuels,1.01,
1997,E,"Water supply; sewerage, waste management and remediation activities",Carbon based fuels,0.897,
1998,E,"Water supply; sewerage, waste management and remediation activities",Carbon based fuels,1.682,
1999,E,"Water supply; sewerage, waste management and remediation activities",Carbon based fuels,1.139,
2000,E,"Water supply; sewerage, waste management and remediation activities",Carbon based fuels,1.208,
2001,E,"Water supply; sewerage, waste management and remediation activities",Carbon based fuels,1.204,
2002,E,"Water supply; sewerage, waste management and remediation activities",Carbon based fuels,0.978,
2003,E,"Water supply; sewerage, waste management and remediation activities",Carbon based fuels,0.953,
2004,E,"Water supply; sewerage, waste management and remediation activities",Carbon based fuels,1.0,
2005,E,"Water supply; sewerage, waste management and remediation activities",Carbon based fuels,1.092,
2006,E,"Water supply; sewerage, waste management and remediation activities",Carbon based fuels,1.1,
2007,E,"Water supply; sewerage, waste management and remediation activities",Carbon based fuels,1.008,
2008,E,"Water supply; sewerage, waste management and remediation activities",Carbon based fuels,0.865,
2009,E,"Water supply; sewerage, waste management and remediation activities",Carbon based fuels,0.819,
2010,E,"Water supply; sewerage, waste management and remediation activities",Carbon based fuels,0.878,
2011,E,"Water supply; sewerage, waste management and remediation activities",Carbon based fuels,0.822,
2012,E,"Water supply; sewerage, waste management and remediation activities",Carbon based fuels,0.813,
2013,E,"Water supply; sewerage, waste management and remediation activities",Carbon based fuels,0.792,
2014,E,"Water supply; sewerage, waste management and remediation activities",Carbon based fuels,0.793,
2015,E,"Water supply; sewerage, waste management and remediation activities",Carbon based fuels,0.816,
2016,E,"Water supply; sewerage, waste management and remediation activities",Carbon based fuels,0.878,
2017,E,"Water supply; sewerage, waste management and remediation activities",Carbon based fuels,0.874,
2018,E,"Water supply; sewerage, waste management and remediation activities",Carbon based fuels,0.875,
2019,E,"Water supply; sewerage, waste management and remediation activities",Carbon based fuels,0.854,
2020,E,"Water supply; sewerage, waste management and remediation activities",Carbon based fuels,0.819,
2021,E,"Water supply; sewerage, waste management and remediation activities",Carbon based fuels,0.858,
1990,F,Construction,Carbon based fuels,2.002,
1991,F,Construction,Carbon based fuels,2.073,
1992,F,Construction,Carbon based fuels,2.113,
1993,F,Construction,Carbon based fuels,2.137,
1994,F,Construction,Carbon based fuels,2.232,
1995,F,Construction,Carbon based fuels,2.229,
1996,F,Construction,Carbon based fuels,2.328,
1997,F,Construction,Carbon based fuels,2.405,
1998,F,Construction,Carbon based fuels,2.501,
1999,F,Construction,Carbon based fuels,2.599,
2000,F,Construction,Carbon based fuels,2.666,
2001,F,Construction,Carbon based fuels,2.788,
2002,F,Construction,Carbon based fuels,2.799,
2003,F,Construction,Carbon based fuels,2.867,
2004,F,Construction,Carbon based fuels,2.961,
2005,F,Construction,Carbon based fuels,3.001,
2006,F,Construction,Carbon based fuels,3.039,
2007,F,Construction,Carbon based fuels,3.129,
2008,F,Construction,Carbon based fuels,3.283,
2009,F,Construction,Carbon based fuels,2.971,
2010,F,Construction,Carbon based fuels,2.974,
2011,F,Construction,Carbon based fuels,2.908,
2012,F,Construction,Carbon based fuels,2.938,
2013,F,Construction,Carbon based fuels,2.895,
2014,F,Construction,Carbon based fuels,2.917,
2015,F,Construction,Carbon based fuels,3.137,
2016,F,Construction,Carbon based fuels,3.333,
2017,F,Construction,Carbon based fuels,3.333,
2018,F,Construction,Carbon based fuels,3.331,
2019,F,Construction,Carbon based fuels,3.269,
2020,F,Construction,Carbon based fuels,2.911,
2021,F,Construction,Carbon based fuels,3.3,
1990,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,Carbon based fuels,4.475,
1991,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,Carbon based fuels,4.667,
1992,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,Carbon based fuels,4.573,
1993,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,Carbon based fuels,4.679,
1994,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,Carbon based fuels,4.804,
1995,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,Carbon based fuels,4.859,
1996,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,Carbon based fuels,4.968,
1997,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,Carbon based fuels,4.828,
1998,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,Carbon based fuels,4.908,
1999,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,Carbon based fuels,5.029,
2000,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,Carbon based fuels,5.038,
2001,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,Carbon based fuels,4.907,
2002,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,Carbon based fuels,4.648,
2003,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,Carbon based fuels,4.745,
2004,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,Carbon based fuels,4.706,
2005,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,Carbon based fuels,4.677,
2006,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,Carbon based fuels,4.597,
2007,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,Carbon based fuels,4.663,
2008,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,Carbon based fuels,4.773,
2009,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,Carbon based fuels,4.645,
2010,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,Carbon based fuels,4.768,
2011,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,Carbon based fuels,4.578,
2012,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,Carbon based fuels,4.687,
2013,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,Carbon based fuels,4.553,
2014,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,Carbon based fuels,4.466,
2015,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,Carbon based fuels,4.641,
2016,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,Carbon based fuels,4.8,
2017,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,Carbon based fuels,4.709,
2018,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,Carbon based fuels,4.586,
2019,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,Carbon based fuels,4.482,
2020,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,Carbon based fuels,3.951,
2021,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,Carbon based fuels,4.351,
1990,H,Transport and storage,Carbon based fuels,22.562,
1991,H,Transport and storage,Carbon based fuels,22.695,
1992,H,Transport and storage,Carbon based fuels,23.072,
1993,H,Transport and storage,Carbon based fuels,23.56,
1994,H,Transport and storage,Carbon based fuels,23.9,
1995,H,Transport and storage,Carbon based fuels,24.893,
1996,H,Transport and storage,Carbon based fuels,26.83,
1997,H,Transport and storage,Carbon based fuels,29.828,
1998,H,Transport and storage,Carbon based fuels,31.55,
1999,H,Transport and storage,Carbon based fuels,31.066,
2000,H,Transport and storage,Carbon based fuels,31.958,
2001,H,Transport and storage,Carbon based fuels,33.276,
2002,H,Transport and storage,Carbon based fuels,32.09,
2003,H,Transport and storage,Carbon based fuels,32.092,
2004,H,Transport and storage,Carbon based fuels,32.825,
2005,H,Transport and storage,Carbon based fuels,33.484,
2006,H,Transport and storage,Carbon based fuels,30.47,
2007,H,Transport and storage,Carbon based fuels,31.801,
2008,H,Transport and storage,Carbon based fuels,30.287,
2009,H,Transport and storage,Carbon based fuels,27.87,
2010,H,Transport and storage,Carbon based fuels,27.95,
2011,H,Transport and storage,Carbon based fuels,29.18,
2012,H,Transport and storage,Carbon based fuels,28.015,
2013,H,Transport and storage,Carbon based fuels,26.943,
2014,H,Transport and storage,Carbon based fuels,28.514,
2015,H,Transport and storage,Carbon based fuels,29.221,
2016,H,Transport and storage,Carbon based fuels,30.098,
2017,H,Transport and storage,Carbon based fuels,28.052,
2018,H,Transport and storage,Carbon based fuels,29.576,
2019,H,Transport and storage,Carbon based fuels,28.969,
2020,H,Transport and storage,Carbon based fuels,20.463,
2021,H,Transport and storage,Carbon based fuels,18.776,
1990,I,Accommodation and food services,Carbon based fuels,1.324,
1991,I,Accommodation and food services,Carbon based fuels,1.524,
1992,I,Accommodation and food services,Carbon based fuels,1.407,
1993,I,Accommodation and food services,Carbon based fuels,1.496,
1994,I,Accommodation and food services,Carbon based fuels,1.487,
1995,I,Accommodation and food services,Carbon based fuels,1.536,
1996,I,Accommodation and food services,Carbon based fuels,1.625,
1997,I,Accommodation and food services,Carbon based fuels,1.452,
1998,I,Accommodation and food services,Carbon based fuels,1.541,
1999,I,Accommodation and food services,Carbon based fuels,1.613,
2000,I,Accommodation and food services,Carbon based fuels,1.649,
2001,I,Accommodation and food services,Carbon based fuels,1.66,
2002,I,Accommodation and food services,Carbon based fuels,1.441,
2003,I,Accommodation and food services,Carbon based fuels,1.543,
2004,I,Accommodation and food services,Carbon based fuels,1.514,
2005,I,Accommodation and food services,Carbon based fuels,1.503,
2006,I,Accommodation and food services,Carbon based fuels,1.402,
2007,I,Accommodation and food services,Carbon based fuels,1.364,
2008,I,Accommodation and food services,Carbon based fuels,1.686,
2009,I,Accommodation and food services,Carbon based fuels,1.374,
2010,I,Accommodation and food services,Carbon based fuels,1.489,
2011,I,Accommodation and food services,Carbon based fuels,1.32,
2012,I,Accommodation and food services,Carbon based fuels,1.503,
2013,I,Accommodation and food services,Carbon based fuels,1.541,
2014,I,Accommodation and food services,Carbon based fuels,1.347,
2015,I,Accommodation and food services,Carbon based fuels,1.496,
2016,I,Accommodation and food services,Carbon based fuels,1.54,
2017,I,Accommodation and food services,Carbon based fuels,1.527,
2018,I,Accommodation and food services,Carbon based fuels,1.516,
2019,I,Accommodation and food services,Carbon based fuels,1.521,
2020,I,Accommodation and food services,Carbon based fuels,1.316,
2021,I,Accommodation and food services,Carbon based fuels,1.464,
1990,J,Information and communication,Carbon based fuels,0.456,
1991,J,Information and communication,Carbon based fuels,0.491,
1992,J,Information and communication,Carbon based fuels,0.477,
1993,J,Information and communication,Carbon based fuels,0.497,
1994,J,Information and communication,Carbon based fuels,0.511,
1995,J,Information and communication,Carbon based fuels,0.526,
1996,J,Information and communication,Carbon based fuels,0.532,
1997,J,Information and communication,Carbon based fuels,0.502,
1998,J,Information and communication,Carbon based fuels,0.512,
1999,J,Information and communication,Carbon based fuels,0.531,
2000,J,Information and communication,Carbon based fuels,0.533,
2001,J,Information and communication,Carbon based fuels,0.509,
2002,J,Information and communication,Carbon based fuels,0.457,
2003,J,Information and communication,Carbon based fuels,0.462,
2004,J,Information and communication,Carbon based fuels,0.443,
2005,J,Information and communication,Carbon based fuels,0.436,
2006,J,Information and communication,Carbon based fuels,0.407,
2007,J,Information and communication,Carbon based fuels,0.397,
2008,J,Information and communication,Carbon based fuels,0.43,
2009,J,Information and communication,Carbon based fuels,0.357,
2010,J,Information and communication,Carbon based fuels,0.366,
2011,J,Information and communication,Carbon based fuels,0.34,
2012,J,Information and communication,Carbon based fuels,0.351,
2013,J,Information and communication,Carbon based fuels,0.333,
2014,J,Information and communication,Carbon based fuels,0.309,
2015,J,Information and communication,Carbon based fuels,0.317,
2016,J,Information and communication,Carbon based fuels,0.327,
2017,J,Information and communication,Carbon based fuels,0.311,
2018,J,Information and communication,Carbon based fuels,0.294,
2019,J,Information and communication,Carbon based fuels,0.292,
2020,J,Information and communication,Carbon based fuels,0.248,
2021,J,Information and communication,Carbon based fuels,0.279,
1990,K,Financial and insurance activities,Carbon based fuels,0.137,
1991,K,Financial and insurance activities,Carbon based fuels,0.151,
1992,K,Financial and insurance activities,Carbon based fuels,0.14,
1993,K,Financial and insurance activities,Carbon based fuels,0.147,
1994,K,Financial and insurance activities,Carbon based fuels,0.145,
1995,K,Financial and insurance activities,Carbon based fuels,0.148,
1996,K,Financial and insurance activities,Carbon based fuels,0.151,
1997,K,Financial and insurance activities,Carbon based fuels,0.134,
1998,K,Financial and insurance activities,Carbon based fuels,0.136,
1999,K,Financial and insurance activities,Carbon based fuels,0.141,
2000,K,Financial and insurance activities,Carbon based fuels,0.141,
2001,K,Financial and insurance activities,Carbon based fuels,0.138,
2002,K,Financial and insurance activities,Carbon based fuels,0.118,
2003,K,Financial and insurance activities,Carbon based fuels,0.122,
2004,K,Financial and insurance activities,Carbon based fuels,0.117,
2005,K,Financial and insurance activities,Carbon based fuels,0.113,
2006,K,Financial and insurance activities,Carbon based fuels,0.103,
2007,K,Financial and insurance activities,Carbon based fuels,0.1,
2008,K,Financial and insurance activities,Carbon based fuels,0.117,
2009,K,Financial and insurance activities,Carbon based fuels,0.094,
2010,K,Financial and insurance activities,Carbon based fuels,0.098,
2011,K,Financial and insurance activities,Carbon based fuels,0.088,
2012,K,Financial and insurance activities,Carbon based fuels,0.096,
2013,K,Financial and insurance activities,Carbon based fuels,0.094,
2014,K,Financial and insurance activities,Carbon based fuels,0.083,
2015,K,Financial and insurance activities,Carbon based fuels,0.088,
2016,K,Financial and insurance activities,Carbon based fuels,0.09,
2017,K,Financial and insurance activities,Carbon based fuels,0.086,
2018,K,Financial and insurance activities,Carbon based fuels,0.083,
2019,K,Financial and insurance activities,Carbon based fuels,0.083,
2020,K,Financial and insurance activities,Carbon based fuels,0.074,
2021,K,Financial and insurance activities,Carbon based fuels,0.084,
1990,L,Real estate activities,Carbon based fuels,0.266,
1991,L,Real estate activities,Carbon based fuels,0.302,
1992,L,Real estate activities,Carbon based fuels,0.288,
1993,L,Real estate activities,Carbon based fuels,0.305,
1994,L,Real estate activities,Carbon based fuels,0.312,
1995,L,Real estate activities,Carbon based fuels,0.325,
1996,L,Real estate activities,Carbon based fuels,0.341,
1997,L,Real estate activities,Carbon based fuels,0.317,
1998,L,Real estate activities,Carbon based fuels,0.339,
1999,L,Real estate activities,Carbon based fuels,0.362,
2000,L,Real estate activities,Carbon based fuels,0.373,
2001,L,Real estate activities,Carbon based fuels,0.374,
2002,L,Real estate activities,Carbon based fuels,0.336,
2003,L,Real estate activities,Carbon based fuels,0.363,
2004,L,Real estate activities,Carbon based fuels,0.363,
2005,L,Real estate activities,Carbon based fuels,0.37,
2006,L,Real estate activities,Carbon based fuels,0.357,
2007,L,Real estate activities,Carbon based fuels,0.355,
2008,L,Real estate activities,Carbon based fuels,0.436,
2009,L,Real estate activities,Carbon based fuels,0.365,
2010,L,Real estate activities,Carbon based fuels,0.397,
2011,L,Real estate activities,Carbon based fuels,0.362,
2012,L,Real estate activities,Carbon based fuels,0.408,
2013,L,Real estate activities,Carbon based fuels,0.415,
2014,L,Real estate activities,Carbon based fuels,0.37,
2015,L,Real estate activities,Carbon based fuels,0.397,
2016,L,Real estate activities,Carbon based fuels,0.411,
2017,L,Real estate activities,Carbon based fuels,0.404,
2018,L,Real estate activities,Carbon based fuels,0.396,
2019,L,Real estate activities,Carbon based fuels,0.398,
2020,L,Real estate activities,Carbon based fuels,0.369,
2021,L,Real estate activities,Carbon based fuels,0.386,
1990,M,"Professional, scientific and technical activities",Carbon based fuels,0.931,
1991,M,"Professional, scientific and technical activities",Carbon based fuels,1.026,
1992,M,"Professional, scientific and technical activities",Carbon based fuels,0.98,
1993,M,"Professional, scientific and technical activities",Carbon based fuels,1.027,
1994,M,"Professional, scientific and technical activities",Carbon based fuels,1.042,
1995,M,"Professional, scientific and technical activities",Carbon based fuels,1.073,
1996,M,"Professional, scientific and technical activities",Carbon based fuels,1.092,
1997,M,"Professional, scientific and technical activities",Carbon based fuels,1.008,
1998,M,"Professional, scientific and technical activities",Carbon based fuels,1.041,
1999,M,"Professional, scientific and technical activities",Carbon based fuels,1.087,
2000,M,"Professional, scientific and technical activities",Carbon based fuels,1.094,
2001,M,"Professional, scientific and technical activities",Carbon based fuels,1.052,
2002,M,"Professional, scientific and technical activities",Carbon based fuels,0.93,
2003,M,"Professional, scientific and technical activities",Carbon based fuels,0.954,
2004,M,"Professional, scientific and technical activities",Carbon based fuels,0.922,
2005,M,"Professional, scientific and technical activities",Carbon based fuels,0.906,
2006,M,"Professional, scientific and technical activities",Carbon based fuels,0.852,
2007,M,"Professional, scientific and technical activities",Carbon based fuels,0.835,
2008,M,"Professional, scientific and technical activities",Carbon based fuels,0.949,
2009,M,"Professional, scientific and technical activities",Carbon based fuels,0.772,
2010,M,"Professional, scientific and technical activities",Carbon based fuels,0.81,
2011,M,"Professional, scientific and technical activities",Carbon based fuels,0.742,
2012,M,"Professional, scientific and technical activities",Carbon based fuels,0.798,
2013,M,"Professional, scientific and technical activities",Carbon based fuels,0.776,
2014,M,"Professional, scientific and technical activities",Carbon based fuels,0.702,
2015,M,"Professional, scientific and technical activities",Carbon based fuels,0.736,
2016,M,"Professional, scientific and technical activities",Carbon based fuels,0.757,
2017,M,"Professional, scientific and technical activities",Carbon based fuels,0.729,
2018,M,"Professional, scientific and technical activities",Carbon based fuels,0.7,
2019,M,"Professional, scientific and technical activities",Carbon based fuels,0.696,
2020,M,"Professional, scientific and technical activities",Carbon based fuels,0.598,
2021,M,"Professional, scientific and technical activities",Carbon based fuels,0.667,
1990,N,Administrative and support service activities,Carbon based fuels,1.076,
1991,N,Administrative and support service activities,Carbon based fuels,1.136,
1992,N,Administrative and support service activities,Carbon based fuels,1.117,
1993,N,Administrative and support service activities,Carbon based fuels,1.155,
1994,N,Administrative and support service activities,Carbon based fuels,1.188,
1995,N,Administrative and support service activities,Carbon based fuels,1.21,
1996,N,Administrative and support service activities,Carbon based fuels,1.241,
1997,N,Administrative and support service activities,Carbon based fuels,1.209,
1998,N,Administrative and support service activities,Carbon based fuels,1.231,
1999,N,Administrative and support service activities,Carbon based fuels,1.262,
2000,N,Administrative and support service activities,Carbon based fuels,1.274,
2001,N,Administrative and support service activities,Carbon based fuels,1.259,
2002,N,Administrative and support service activities,Carbon based fuels,1.193,
2003,N,Administrative and support service activities,Carbon based fuels,1.23,
2004,N,Administrative and support service activities,Carbon based fuels,1.228,
2005,N,Administrative and support service activities,Carbon based fuels,1.258,
2006,N,Administrative and support service activities,Carbon based fuels,1.248,
2007,N,Administrative and support service activities,Carbon based fuels,1.252,
2008,N,Administrative and support service activities,Carbon based fuels,1.301,
2009,N,Administrative and support service activities,Carbon based fuels,1.133,
2010,N,Administrative and support service activities,Carbon based fuels,1.172,
2011,N,Administrative and support service activities,Carbon based fuels,1.121,
2012,N,Administrative and support service activities,Carbon based fuels,1.178,
2013,N,Administrative and support service activities,Carbon based fuels,1.155,
2014,N,Administrative and support service activities,Carbon based fuels,1.12,
2015,N,Administrative and support service activities,Carbon based fuels,1.175,
2016,N,Administrative and support service activities,Carbon based fuels,1.228,
2017,N,Administrative and support service activities,Carbon based fuels,1.214,
2018,N,Administrative and support service activities,Carbon based fuels,1.195,
2019,N,Administrative and support service activities,Carbon based fuels,1.183,
2020,N,Administrative and support service activities,Carbon based fuels,1.05,
2021,N,Administrative and support service activities,Carbon based fuels,1.158,
1990,O,Public administration and defence; compulsory social security,Carbon based fuels,4.385,
1991,O,Public administration and defence; compulsory social security,Carbon based fuels,4.16,
1992,O,Public administration and defence; compulsory social security,Carbon based fuels,4.228,
1993,O,Public administration and defence; compulsory social security,Carbon based fuels,4.306,
