Period,CPIH,CPI,OOH
P1Y/2019-08-01,1.7,1.7,1.1
P1Y/2019-09-01,1.7,1.7,1.1
P1Y/2019-10-01,1.5,1.5,1.2
P1Y/2019-11-01,1.5,1.5,1.2
P1Y/2019-12-01,1.4,1.3,1.2
P1Y/2020-01-01,1.8,1.8,1.3
P1Y/2020-02-01,1.7,1.7,1.2
P1Y/2020-03-01,1.5,1.5,1.3
P1Y/2020-04-01,0.9,0.8,1.1
P1Y/2020-05-01,0.7,0.5,1.1
P1Y/2020-06-01,0.8,0.6,1.2
P1Y/2020-07-01,1.1,1,1.1
P1Y/2020-08-01,0.5,0.2,1.1
P1Y/2020-09-01,0.7,0.5,1.2
P1Y/2020-10-01,0.9,0.7,1.2
P1Y/2020-11-01,0.6,0.3,1.2
P1Y/2020-12-01,0.8,0.6,1.3
P1Y/2021-01-01,0.9,0.7,1.3
P1Y/2021-02-01,0.7,0.4,1.4
P1Y/2021-03-01,1,0.7,1.3
P1Y/2021-04-01,1.6,1.5,1.4
P1Y/2021-05-01,2.1,2.1,1.5
P1Y/2021-06-01,2.4,2.5,1.6
P1Y/2021-07-01,2.1,2,1.6
P1Y/2021-08-01,3,3.2,1.7
P1Y/2021-09-01,2.9,3.1,1.8
P1Y/2021-10-01,3.8,4.2,1.9
P1Y/2021-11-01,4.6,5.1,2.1
P1Y/2021-12-01,4.8,5.4,2.2
P1Y/2022-01-01,4.9,5.5,2.4
